"","card1","card2","suit/off","win","tie","loss"
"85","2","9","o","0.344538935362774","0.0524920909714103","0.602968973665816"
"86","2","t","o","0.369300789669848","0.0515743687157551","0.579124841614397"
"87","2","j","o","0.397456780152799","0.0512212449008679","0.551321974946333"
"88","2","q","o","0.430933688079052","0.0514106519780544","0.517655659942894"
"89","2","k","o","0.470766323153516","0.0520814453483536","0.47715223149813"
"90","2","a","o","0.530969315723658","0.0517777147248316","0.41725296955151"
"91","3","4","o","0.321790170110912","0.0756505308360586","0.602559299053029"
"92","3","5","o","0.332726533582223","0.075362265264876","0.591911201152901"
"93","3","6","o","0.331467241658423","0.0732676615668187","0.595265096774759"
"94","3","7","o","0.340268475238667","0.0694557469213138","0.590275777840019"
"95","3","8","o","0.350940544106594","0.0658411322919494","0.583218323601457"
"96","3","9","o","0.37700090112337","0.0626340357620551","0.560365063114575"
"97","3","t","o","0.403131067947596","0.059317922658194","0.53755100939421"
"98","3","j","o","0.429765021089926","0.0565072364203827","0.513727742489691"
"99","3","q","o","0.458427052546438","0.0540797063114362","0.487493241142126"
"100","3","k","o","0.489172478399275","0.0519558971994988","0.458871624401227"
"101","3","a","o","0.533289403252914","0.0491521225602323","0.417558474186853"
"102","4","5","o","0.350521157824067","0.0747279738568669","0.574750868319067"
"103","4","6","o","0.349306203954678","0.0731316441692637","0.577562151876059"
"104","4","7","o","0.358168453938831","0.0694300888180013","0.572401457243168"
"105","4","8","o","0.36895527797085","0.0658152745276293","0.565229447501521"
"106","4","9","o","0.382528101820938","0.0624378571752403","0.555034041003822"
"107","4","t","o","0.410937928148073","0.0594903382574263","0.529571733594501"
"108","4","j","o","0.437561196098816","0.056668550867595","0.505770253033589"
"109","4","q","o","0.466179758026299","0.0542299196066284","0.479590322367072"
"110","4","k","o","0.496848930012667","0.052095009342671","0.451056060644662"
"111","4","a","o","0.540531477369796","0.049284006974931","0.410184515655273"
"112","5","6","o","0.368461063734216","0.0710610946310915","0.560477841634692"
"113","5","7","o","0.377198555537799","0.0679673273529271","0.554834117109274"
"114","5","8","o","0.388206723762793","0.0642797798851864","0.54751349635202"
"115","5","9","o","0.401956666892683","0.0608708826472728","0.537172450460044"
"116","5","t","o","0.41838039536287","0.0579247247519937","0.523694879885136"
"117","5","j","o","0.447188181018739","0.0554295195445365","0.497382299436724"
"118","5","q","o","0.475767066976338","0.0529811747755524","0.471251758248109"
"119","5","k","o","0.506364467485857","0.0508365510035774","0.442798981510565"
"120","5","a","o","0.549820394607886","0.0480195787717116","0.402160026620403"
"121","6","7","o","0.394538636521369","0.0640457788481738","0.541415584630458"
"122","6","8","o","0.406070934857295","0.0609455741663574","0.532983490976347"
"123","6","9","o","0.420119750549394","0.0574322974813775","0.522447951969229"
"124","6","t","o","0.436813899888214","0.0543544964284506","0.508831603683336"
"125","6","j","o","0.45427941789978","0.0520045312932557","0.493716050806965"
"126","6","q","o","0.484968348006687","0.0498407567029728","0.46519089529034"
"127","6","k","o","0.515581012600233","0.0476878070669827","0.436731180332784"
"128","6","a","o","0.549350375957684","0.0451111568068604","0.405538467235456"
"129","7","8","o","0.426836238693829","0.0560826206832991","0.517081140622871"
"130","7","9","o","0.440512187454319","0.0530956271204498","0.506392185425231"
"131","7","t","o","0.457372378214705","0.0499035700559495","0.492724051729345"
"132","7","j","o","0.47519799816413","0.0473133561580473","0.477488645677822"
"133","7","q","o","0.495311418794048","0.0453924791665053","0.459296102039447"
"134","7","k","o","0.527890308385477","0.0434820877055434","0.428627603908979"
"135","7","a","o","0.563040300988703","0.0415033589370623","0.395456340074235"
"136","8","9","o","0.460398049442401","0.0482231082112879","0.491378842346311"
